Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),Space group number,a,b,c,alpha,beta,gamma
LiSn2(PO4)3,2,Li2.0Sn4.0P6.0O24.0,2.04E-09,2,8.4029,8.4408,8.8897,118.16,90.18,119.681
Li7BiO6,1,Li7.0Bi1.0O6.0,8.80E-07,2,5.5071,6.0425,5.5231,116.912,120.867,62.234
Li7SbO6,1,Li7.0Sb1.0O6.0,6.70E-08,2,5.4307,5.8916,5.385,116.748,119.63,62.779
LiV(PO4)F,2,Li2.0V2.0P2.0O8.0F2.0,8.10E-07,2,5.30941,7.49936,5.16888,112.933,81.664,113.125
Li3BP2O8,2,Li6.0B2.0P4.0O16.0,9.60E-12,2,5.1888,7.4118,7.6735,101.179,105.067,90.335
Li2NaBP2O8,2,Li4.0Na2.0B2.0P4.0O16.0,4.40E-18,2,5.4344,7.3793,7.984,103.243,109.27,87.391
Li6CuB4O10,1,Li6.0Cu1.0B4.0O10.0,1.00E-13,2,3.31218,6.68272,9.27858,78.8443,89.7596,86.6143
Li7P3S11,2,Li14.0P6.0S22.0,0.0032,2,12.5009,6.0316,12.5303,102.845,113.2024,74.467
Li0.91Hf2.022(PO4)3,6,Li5.46Hf12.13P18.0O72.0,3.20E-07,167,8.8306,8.8306,22.027,90,90,120
Li7P3S11,2,Li14.0P6.0S22.0,0.0086,2,12.4258,6.0401,12.515,103.076,113.342,74.883
Li3BiO3,8,Li24.0Bi8.0O24.0,2.40E-10,2,9.02743,9.7388,9.23917,114.04632,89.29499,107.53782
Li5BiO5,2,Li10.0Bi2.0O10.0,3.90E-09,8,9.97608,4.15207,5.94635,90,109.48577,90
Li7.22Si1.5P0.5O8,1,Li7.22Si1.5P0.5O8.0,1.64E-07,11,5.10536,6.11225,5.29671,90,90.3692,90
Li3.8Ge0.8P0.2S4,24,Li91.2Ge19.2P4.8S96.0,1.78E-06,11,13.9668,23.3842,12.3196,90,89.967,90
Li3.6Ge0.6P0.4S4,24,Li86.4Ge14.4P9.6S96.0,0.000175,11,13.9016,23.454,12.3367,90,90.043,90
Li3.4Ge0.4P0.6S4,24,Li81.6Ge9.6P14.4S96.0,0.000654,11,13.769,23.614,12.359,90,90.66,90
Li3.35Ge0.35P0.65S4,24,Li80.4Ge8.4P15.6S96.0,0.00154,11,13.393,22.947,18.2009,90,92.562,90
Li3.3Ge0.3P0.7S4,24,Li79.2Ge7.2P16.8S96.0,0.00174,11,13.387,22.968,18.2015,90,92.594,90
Li3.25Ge0.25P0.75S4,24,Li78.0Ge6.0P18.0S96.0,0.0022,11,13.395,22.979,18.1981,90,92.591,90
Li3.2Ge0.2P0.8S4,24,Li76.8Ge4.8P19.2S96.0,0.000555,11,13.0981,24.201,12.2793,90,89.887,90
Li4SiS4,2,Li8.0Si2.0S8.0,1.59E-08,11,6.8825,7.771,6.1276,90,91.215,90
Li3.8Si0.8P0.2S4,24,Li91.2Si19.2P4.8S96.0,8.11E-07,11,13.7707,23.304,12.1962,90,91.168,90
Li3.6Si0.6P0.4S4,24,Li86.4Si14.4P9.6S96.0,7.19E-05,11,13.6233,23.4044,12.2258,90,90.133,90
Li3.4Si0.4P0.6S4,24,Li81.6Si9.6P14.4S96.0,0.000662,11,13.3678,23.6448,12.2154,90,90.134,90
Li3.2Si0.2P0.8S4,24,Li76.8Si4.8P19.2S96.0,3.20E-06,11,13.0804,24.1028,12.2338,90,90.03,90
Li4Al0.33Si0.33P0.33O4,2,Li8.0Al0.66Si0.66P0.66O8.0,3.25E-06,11,5.1475,6.1779,5.3497,90,90.34,90
Li4.25Si0.75Al0.25O4,2,Li8.5Si1.5Al0.5O8.0,2.02E-08,11,5.1496,6.1771,5.3424,90,90.3,90
Li3.75Si0.75P0.25O4,2,Li7.5Si1.5P0.5O8.0,5.54E-07,11,5.1084,6.1126,5.302,90,90.34,90
Li5AlS4,2,Li10.0Al2.0S8.0,1.40E-09,11,6.8583,7.8369,6.2488,90,90.333,90
Li4.2Si0.8Al0.2S4,2,Li8.4Si1.6Al0.4S8.0,2.40E-08,11,6.903,7.787,6.125,90,90.877,90
Li4.4Si0.6Al0.4S4,2,Li8.8Si1.2Al0.8S8.0,3.05E-08,11,6.862,7.81,6.113,90,90.23,90
Li4.6Si0.4Al0.6S4,2,Li9.2Si0.8Al1.2S8.0,1.46E-08,11,6.858,7.82,6.217,90,89.947,90
