Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),Space group number,a,b,c,alpha,beta,gamma
Li4P2O7,2,Li8.0P4.0O14.0,<1E-10,2,8.5632,7.1099,5.1858,111.426,89.991,103.055
LaLiO2,4,La4.0Li4.0O8.0,<1E-10,14,5.874,6.2129,5.8481,90,102.453,90
LiSbO2,8,Li8.0Sb8.0O16.0,<1E-10,14,4.855,17.857,5.5771,90,90.061,90
Li2Sr2Al(PO4)3,4,Li8.0Sr8.0Al4.0P12.0O48.0,<1E-10,14,4.945,22.088,8.632,90,91.47,90
Li4Zn(PO4)2,4,Li16.0Zn4.0P8.0O32.0,<1E-10,14,8.1199,10.24192,8.10549,90,104.8589,90
Li2CrCl4,4,Li8.0Cr4.0Cl16.0,<1E-10,15,7.446,10.162,10.172,90,90,132.11
LiGd(PO3)4,4,Li4.0Gd4.0P16.0O48.0,<1E-10,15,16.386,7.059,9.677,90,126.12,90
Li3.7Zn0.7Ga0.3(PO4)2,2,Li7.4Zn1.4Ga0.6P4.0O16.0,<1E-10,19,4.9391,6.4803,10.1468,90,90,90
LiB6O9F,4,Li4.0B24.0O36.0F4.0,<1E-10,33,7.65545,8.53175,10.7894,90,90,90
Li2(PO2N),4,Li8.0P4.0O8.0N4.0,<1E-10,36,9.0692,5.3999,4.6856,90,90,90
Li4Zn(PO4)2,2,Li8.0Zn2.0P4.0O16.0,<1E-10,62,10.2974,6.5021,5.0011,90,90,90
Li3.5Zn0.5Ga0.5(PO4)2,2,Li7.0Zn1.0Ga1.0P4.0O16.0,<1E-10,62,10.08925,6.5108,4.935878,90,90,90
Li3Cr(MoO4)3,4,Li12.0Cr4.0Mo12.0O48.0,<1E-10,62,5.0377,10.4091,17.6149,90,90,90
Li2Mg2(MoO4)3,4,Li8.0Mg8.0Mo12.0O48.0,<1E-10,62,5.1167,10.4646,17.6228,90,90,90
Li3Fe(MoO4)3,4,Li12.0Fe4.0Mo12.0O48.0,<1E-10,62,5.0697,10.4333,17.6317,90,90,90
Li(LaTiO4),2,Li2.0La2.0Ti2.0O8.0,<1E-10,129,3.77,3.77,12.076,90,90,90
Li(NdTiO4),2,Li2.0Nd2.0Ti2.0O8.0,<1E-10,129,3.7465,3.7465,11.895,90,90,90
LiLaNb2O7,2,Li2.0La2.0Nb4.0O14.0,<1E-8,139,3.8798,3.8798,20.3597,90,90,90
Li4Sr3Nb5.77Fe0.23O19.77,1,Li4.0Sr3.0Nb5.77Fe0.23O19.77,<1E-10,139,3.9585,3.9585,25.915,90,90,90
Li4Sr3Nb6O20,1,Li4.0Sr3.0Nb6.0O20.0,<1E-10,139,3.953,3.953,26.041,90,90,90
LiScO2,4,Li4.0Sc4.0O8.0,<1E-10,141,4.1791,4.1791,9.361,90,90,90
Li0.9Sc0.9Zr0.1O2,4,Li3.6Sc3.6Zr0.4O8.0,<1E-10,141,4.1804,4.1804,9.4186,90,90,90
LiAlGeO4,18,Li18.0Al18.0Ge18.0O72.0,<1E-10,146,9.195,9.195,13.772,90,90,120
LiGaGeO4,18,Li18.0Ga18.0Ge18.0O72.0,<1E-10,148,9.302,9.302,13.941,90,90,120
LiGa0.5Al0.5GeO4,18,Li18.0Ga9.0Al9.0Ge18.0O72.0,<1E-10,146,9.257,9.256,13.867,90,90,120
Li9Mg3(PO4)4F3,2,Li18.0Mg6.0P8.0O32.0F6.0,<1E-10,173,12.6159,12.6159,5.0082,90,90,120
Pb6.12Ca1.9Li1.96(PO4)6,1,Pb6.12Ca1.9Li1.96P6.0O24.0,<1E-10,176,9.679,9.679,7.113,90,90,120
Li0.284Sm4.512Si3O12.91,2,Li0.57Sm9.02Si6.0O25.82,<1E-10,176,9.4601,9.4601,6.9113,90,90,120
Ba3LiTa5ZrSi4O26,1,Ba3.0Li1.0Ta5.0Zr1.0Si4.0O26.0,<1E-10,189,9.0495,9.0495,7.8198,90,90,120
Fe2Na2K(Li3Si12O30),2,Fe4.0Na4.0K2.0Li6.0Si24.0O60.0,<1E-10,192,10.0617,10.0617,14.0832,90,90,120
Li2MgTi3O8,4,Li8.0Mg4.0Ti12.0O32.0,<1E-10,212,8.3774,8.3774,8.3774,90,90,90
Li2CoTi3O8,4,Li8.0Co4.0Ti12.0O32.0,<1E-10,212,8.3766,8.3766,8.3766,90,90,90
Li2CoGe3O8,4,Li8.0Co4.0Ge12.0O32.0,<1E-10,212,8.2098,8.2098,8.2098,90,90,90
Li2ZnGe3O8,4,Li8.0Zn4.0Ge12.0O32.0,<1E-10,212,8.1961,8.1961,8.1961,90,90,90
LiSrNb2O6F,8,Li8.0Sr8.0Nb16.0O48.0F8.0,<1E-10,227,10.48371,10.48371,10.48371,90,90,90
LiSrTa2O6F,8,Li8.0Sr8.0Ta16.0O48.0F8.0,<1E-10,227,10.46919,10.46919,10.46919,90,90,90
LiSr0.9Nb2O6F0.8,8,Li8.0Sr7.2Nb16.0O48.0F6.4,<1E-10,227,10.4951,10.4951,10.4951,90,90,90
LiSr0.9Ta2O6F0.8,8,Li8.0Sr7.2Ta16.0O48.0F6.4,<1E-10,227,10.4737,10.4737,10.4737,90,90,90
Li1.1SrNb1.9Zr0.1O6F,8,Li8.8Sr8.0Nb15.2Zr0.8O48.0F8.0,<1E-10,227,10.48854,10.48854,10.48854,90,90,90
Li1.1SrTa1.9Zr0.1O6F,8,Li8.8Sr8.0Ta15.2Zr0.8O48.0F8.0,<1E-10,227,10.46992,10.46992,10.46992,90,90,90
Li3Nd3Te2O12,8,Li24.0Nd24.0Te16.0O96.0,<1E-10,230,12.56253,12.56253,12.56253,90,90,90
