Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF
Li24.0Bi8.0O24.0,2,9.02743,9.7388,9.23917,114.046,89.295,107.538,2.4e-10,10.1016/j.ssi.2015.10.016,Close Match
Li8.0Bi8.0O16.0,72,18.0055,5.18159,4.97144,90.0,90.0,90.0,3.8e-08,10.1016/j.ssi.2015.10.016,Close Match
Li10.0Bi2.0O10.0,8,9.97608,4.15207,5.94635,90.0,109.486,90.0,3.9e-09,10.1016/j.ssi.2015.10.016,Match
Li12.0Bi4.0O16.0,136,8.75298,8.75298,4.22469,90.0,90.0,90.0,4.1e-10,10.1016/j.ssi.2015.10.016,Close Match
Li40.0Nd24.0Sb16.0O96.0,230,12.6624,12.6624,12.6624,90.0,90.0,90.0,1.3e-07,10.1016/j.materresbull.2007.04.002,Match
Li0.8Ca1.6Ta4.0O12.0,62,5.477,7.75,5.479,90.0,90.0,90.0,3.53e-09,10.1016/j.solidstatesciences.2004.05.006,No Match
Fe4.0Na4.0K2.0Li6.0Si24.0O60.0,192,10.0617,10.0617,14.0832,90.0,90.0,120.0,1e-15,10.1016/j.jssc.2018.05.008,Match
Li8.0P4.0O14.0,2,8.5632,7.1099,5.1858,111.426,89.991,103.055,1e-15,10.1016/j.jssc.2013.12.015,Match
Li6.9Y0.9Zr11.1P18.0O72.0,167,8.8727,8.8727,22.1578,90.0,90.0,120.0,7.1e-05,10.1016/j.jpowsour.2013.03.175,Match
Li8.0Zr4.0O12.0,15,5.4163,9.0262,5.4156,90.0,112.615,90.0,6.1e-10,10.1016/0167-2738(81)90021-7,Match
Li4.0Y4.0O8.0,14,6.12,6.185,6.21,90.0,118.8,90.0,1.8e-08,10.1016/0167-2738(81)90021-7,Match
Li54.0La24.0Zr14.0Nb2.0O96.0,230,12.9519,12.9519,12.9519,90.0,90.0,90.0,0.0008,10.1016/j.jpowsour.2010.11.089,No Match
Li10.2Al1.8Ti9.6P18.0O72.0,167,8.46,8.46,20.69,90.0,90.0,120.0,0.00122,10.1016/s0167-2738(00)00493-8,No Match
Li12.0B4.0N8.0,14,5.1502,7.0824,6.7908,90.0,112.956,90.0,8.7e-08,10.1016/0022-4596(87)90135-6,Match
Li6.0B2.0N4.0,94,4.6435,4.6435,5.2592,90.0,90.0,90.0,1.6e-10,10.1016/0022-4596(87)90135-6,Match
Li50.0La24.0Zr16.0Ga2.0O96.0,230,12.971,12.971,12.971,90.0,90.0,90.0,0.00035,10.1016/j.matchemphys.2012.03.054,No Match
Li20.0Sn2.0P4.0S24.0,137,8.73685,8.73685,12.7573,90.0,90.0,90.0,0.00398,10.1021/acs.chemmater.8b00266,Match
Li20.0Sn2.0P4.0S24.0,137,8.7297,8.7297,12.7428,90.0,90.0,90.0,0.0038,10.1021/jacs.0c10735,Match
Li20.0Ge0.66Sn1.32P4.0S24.0,137,8.7182,8.7182,12.6876,90.0,90.0,90.0,0.0048,10.1021/jacs.0c10735,Match
Li20.0Ge2.0P4.0S24.0,137,8.6877,8.6877,12.5827,90.0,90.0,90.0,0.0076,10.1021/jacs.0c10735,Match
Li20.0Ge2.0P4.0S24.0,137,8.719,8.719,12.639,90.0,90.0,90.0,0.0121,10.1039/c4ta05231e|10.1021/acs.chemmater.7b00886,Close Match
Li21.0Ge3.0P3.0S24.0,137,8.7025,8.7025,12.6251,90.0,90.0,90.0,0.011,10.1039/c4ta05231e,No Match
Li20.4Ge2.4P3.6S24.0,137,8.7043,8.7043,12.616,90.0,90.0,90.0,0.0132,10.1039/c4ta05231e,No Match
Li20.7Ge2.7P3.3S24.0,137,8.71302,8.71302,12.6397,90.0,90.0,90.0,0.0144,10.1039/c4ta05231e,Match
Li20.1Ge2.1P3.9S24.0,137,8.6944,8.6944,12.6003,90.0,90.0,90.0,0.0122,10.1039/c4ta05231e,No Match
Li20.7Sn0.54Si2.16P3.3S24.0,137,8.67822,8.67822,12.5744,90.0,90.0,90.0,0.011,10.1021/acs.chemmater.7b00886,Match
